,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5
75,0.45,0.25,0.4,0.6,0.45,0.3,0.45,0.1,0.2,0.3,72,0.34,0.34,0.34,0.34,0.33,0.42,0.48,0.44,0.45,
75,0.55,0.4,0.3,0.65,0.4,0.4,0.45,0.45,0.25,0.45,,,,,,,,,,,
75,0.35,0.35,0.4,0.3,0.25,0.5,0.3,0.4,0.5,0.5,,,,,,,,,,,
75,0,0.4,0.35,0.3,0.3,0.3,0.35,0.4,0.45,0.45,,,,,,,,,,,
76,0.3,0.4,0.25,0.45,0.45,0.3,0.3,0.5,0.4,0.3,,,,,,,,,,,
76,0.45,0.25,0.55,0.4,0.15,0.25,0.3,0.2,0.35,0.4,,,,,,,,,,,
76,0.2,0.2,0.1,0.15,0.3,0.6,0.75,0.8,0.6,0.4,,,,,,,,,,,
76,0.3,0.25,0.45,0.45,0.1,0.6,0.6,0.45,0.4,0.65,,,,,,,,,,,
76,0.25,0.55,0.4,0.5,0.5,0.5,0.4,0.5,0.35,0.45,,,,,,,,,,,
77,0.5,0.2,0.4,0.35,0.3,0.1,0.25,0.25,0.3,0.55,,,,,,,,,,,
77,0.45,0.6,0.35,0.35,0.3,0.3,0.3,0.5,0.5,0.4,,,,,,,,,,,
77,0.6,0.6,0.35,0.4,0.3,0.15,0.15,0.4,0.4,0.45,,,,,,,,,,,
77,0.3,0.3,0.4,0.3,0.55,0.5,0.55,0.25,0.35,0.2,,,,,,,,,,,
77,0.35,0.5,0.45,0.45,0.3,0.05,0.2,0.2,0.25,0.4,,,,,,,,,,,
78,0.3,0.2,0.45,0.5,0.5,0.2,0.55,0.5,0.3,0.4,,,,,,,,,,,
78,0.2,0.6,0.45,0.35,0.4,0.75,0.25,0.45,0.35,0.45,,,,,,,,,,,
78,0.5,0.5,0.5,0.35,0.35,0.35,0.45,0.4,0.45,0.45,,,,,,,,,,,
78,0.45,0.25,0.6,0.35,0.2,0.15,0.3,0.3,0.3,0.4,,,,,,,,,,,
78,0.15,0.15,0.4,0.35,0.35,0.5,0.65,0.55,0.5,0.5,,,,,,,,,,,
79,0.3,0.3,0.2,0.3,0.3,0.55,0.55,0.65,0.5,0.55,,,,,,,,,,,
79,0.25,0.65,0.75,0.55,0.4,0.6,0.35,0.2,0.4,0.45,,,,,,,,,,,
79,0.45,0.25,0.4,0.5,0.35,0.1,0.2,0.15,0.2,0.2,73,0.33,0.44,0.45,0.41,0.44,0.37,0.38,0.4,0.44,0.35
79,0.6,0.45,0.5,0.4,0.5,0.15,0.4,0.25,0.35,0.3,74,0.41,0.43,0.45,0.48,0.42,0.32,0.38,0.35,0.34,0.42
79,0.25,0.4,0.7,0.4,0.4,0.45,0.35,0.25,0.45,0.55,75,0.35,0.4,0.36,0.43,0.41,0.41,0.39,0.38,0.4,0.39
80,0.8,0.55,0.5,0.45,0.6,0.2,0.45,0.5,0.55,0.4,76,0.3,0.33,0.35,0.39,0.3,0.45,0.47,0.49,0.42,0.44
80,0.55,0.55,0.75,0.7,0.6,0.45,0.45,0.25,0.3,0.4,77,0.44,0.44,0.39,0.37,0.35,0.22,0.29,0.32,0.36,0.4
80,0.55,0.65,0.6,0.5,0.45,0.45,0.35,0.4,0.5,0.55,78,0.32,0.34,0.48,0.38,0.36,0.39,0.44,0.44,0.38,0.44
80,0.15,0.35,0.25,0.5,0.55,0.85,0.65,0.75,0.5,0.45,79,0.37,0.41,0.51,0.43,0.39,0.37,0.37,0.3,0.38,0.41
80,0.8,0.9,0.55,0.7,0.45,0.2,0.1,0.45,0.3,0.55,80,0.57,0.6,0.53,0.57,0.53,0.43,0.4,0.47,0.43,0.47
81,0.2,0.05,0.1,0.05,0.1,0.8,0.95,0.9,0.95,0.9,81,0.22,0.03,0.06,0.03,0.05,0.78,0.97,0.94,0.97,0.95
81,0.3,0.05,0.05,0,0,0.7,0.95,0.95,1,1,,,,,,,,,,,
81,0.3,0,0.1,0.05,0,0.7,1,0.9,0.95,1,,,,,,,,,,,
81,0.1,0.05,0,0.05,0.1,0.9,0.95,1,0.95,0.9,,,,,,,,,,,
81,0.2,0,0.05,0,0.05,0.8,1,0.95,1,0.95,,,,,,,,,,,
82,0.1,0,0.05,0.05,0.05,0.25,0.3,0.6,0.35,0.75,,,,,,,,,,,
82,0.1,0.05,0.05,0,0.05,0.55,0.7,0.65,0.6,0.75,,,,,,,,,,,
82,0.05,0,0,0.05,0.05,0.25,0.55,0.6,0.75,0.55,,,,,,,,,,,
82,0.15,0.05,0.05,0.05,0,0.15,0.45,0.3,0.65,0.35,,,,,,,,,,,
82,0.15,0.05,0.05,0.1,0.05,0.4,0.4,0.25,0.4,0.45,,,,,,,,,,,
83,0.2,0.35,0.45,0.5,0.35,0.1,0,0.05,0.05,0.05,,,,,,,,,,,
83,0.8,0.8,0.65,0.3,0.5,0.1,0.1,0.3,0.25,0.05,,,,,,,,,,,
83,0.4,0.3,0.3,0.35,0.4,0.2,0.35,0.3,0.3,0.1,,,,,,,,,,,
83,0.15,0.35,0.45,0.45,0.5,0.1,0.05,0.05,0.05,0.1,,,,,,,,,,,
83,0.7,0.2,0.55,0.35,0.3,0.2,0.2,0.15,0.2,0.4,,,,,,,,,,,
84,0.8,0.95,0.95,0.8,0.7,0.2,0.05,0.05,0.2,0.3,,,,,,,,,,,
84,0.75,0.75,0.95,0.7,0.65,0.25,0.25,0.05,0.3,0.35,,,,,,,,,,,
84,0.65,0.5,0.75,0.8,0.8,0.35,0.5,0.25,0.2,0.2,,,,,,,,,,,
84,0.6,0.85,0.85,0.8,0.6,0.4,0.15,0.15,0.2,0.4,,,,,,,,,,,
84,0.75,0.65,0.65,0.85,0.8,0.25,0.35,0.35,0.15,0.2,,,,,,,,,,,
85,0.75,0.95,0.8,0.95,0.95,0.25,0.05,0.2,0.05,0.05,,,,,,,,,,,
85,0.7,0.85,0.65,0.75,0.55,0.3,0.15,0.35,0.25,0.45,,,,,,,,,,,
85,0.65,0.95,0.75,0.7,0.65,0.35,0.05,0.25,0.3,0.35,,,,,,,,,,,
85,0.5,0.75,0.9,0.75,0.9,0.5,0.25,0.1,0.25,0.1,,,,,,,,,,,
85,0.65,0.65,0.75,0.8,0.65,0.35,0.35,0.25,0.2,0.35,,,,,,,,,,,
86,0.45,0.15,0.4,0.5,0.45,0.2,0,0.05,0.05,0,,,,,,,,,,,
86,0.4,0.6,0.75,0.55,0.45,0.1,0.05,0.05,0.05,0,,,,,,,,,,,
86,0.55,0.6,0.6,0.55,0.7,0.15,0.1,0.05,0.05,0,,,,,,,,,,,
